"INDICADORES, POR ZONA - MANAUS - JAN A SET - 2021, 2022 E 2023"
"ZONA                   NATUREZA                                        2021       2022   2023   COMPARATIVO % 23/22"
"HOMICÍDIO                                        67         70     68          -3%👍"
"ROUBO DE VEÍCULOS                                    230        154    103        -33%👍"
"CENTRO OESTE           FURTO DE VEÍCULOS                                    159        176    172         -2%👍"
"ROUBO EM RESIDÊNCIA                                   88         96     48         -50%👍"
"E CENTRO SUL          ROUBO A TRANSEUNTES                                  3057       2724   2806          3%👎"
"ROUBO A COLETIVO                                    80         121    195         61%👎"
"ROUBO EM ESTABELECIMENTO COMERCIAL                           336        252    240         -5%👍"
"HOMICÍDIO                                        241        174    148        -15%👍"
"ROUBO DE VEÍCULOS                                    423        250    245         -2%👍"
"FURTO DE VEÍCULOS                                    281        343    237        -31%👍"
"LESTE              ROUBO EM RESIDÊNCIA                                   281        141    100        -29%👍"
"ROUBO A TRANSEUNTES                                  4864       4049   4289          6%👎"
"ROUBO A COLETIVO                                    157        200    181        -10%👍"
"ROUBO EM ESTABELECIMENTO COMERCIAL                           411        245    200        -18%👍"
"HOMICÍDIO                                        186        194    211          9%👎"
"ROUBO DE VEÍCULOS                                    644        425    295        -31%👍"
"FURTO DE VEÍCULOS                                    468        370    333        -10%👍"
"NORTE              ROUBO EM RESIDÊNCIA                                   308        189    143        -24%👍"
"ROUBO A TRANSEUNTES                                  6738       5371   5935         11%👎"
"ROUBO A COLETIVO                                    481        447    229        -49%👍"
"ROUBO EM ESTABELECIMENTO COMERCIAL                           510        368    316        -14%👍"
"HOMICÍDIO                                        142        177    104        -41%👍"
"ROUBO DE VEÍCULOS                                    134        97     78         -20%👍"
"FURTO DE VEÍCULOS                                    113        125    88         -30%👍"
"OESTE              ROUBO EM RESIDÊNCIA                                   100        68     44         -35%👍"
"ROUBO A TRANSEUNTES                                  1760       1666   1955         17%👎"
"ROUBO A COLETIVO                                    194        145    74         -49%👍"
"ROUBO EM ESTABELECIMENTO COMERCIAL                           129        150    132        -12%👍"
"HOMICÍDIO                                        108        107    113          6%👎"
"ROUBO DE VEÍCULOS                                    159        89     82          -8%👍"
"FURTO DE VEÍCULOS                                    207        280    136        -51%👍"
"SUL               ROUBO EM RESIDÊNCIA                                   79         44     28         -36%👍"
"ROUBO A TRANSEUNTES                                  3023       2739   2944          7%👎"
"ROUBO A COLETIVO                                    235        384    247        -36%👍"
"ROUBO EM ESTABELECIMENTO COMERCIAL                           289        205    200         -2%👍"
""
""
""
""
"CIESP/SEAGI/SSP-AM                                                    EMITIDO EM 13/11/2023 ÀS 09:40 h                                         1/1"
""
